Name,ID,State,Notes,User,Tags,Created,Runtime,Sweep,batch_size,client_lr,dataset,dataset_size_limit,epochs,epochs_per_client,loss_function,lr_decay,model,num_clients,num_rounds,random_seed,sampling,server_lr,use_experimental_simulation_loop,central_dataset_index,acc,best_epoch,best_val_confusion_matrix,best_val_loss,epoch,len_train,loss,params,round,shuffle_buffer,val_acc,val_auc_nct,val_auc_nict,val_auc_pct,val_loss,val_metrics.accuracy,val_metrics.macro avg.f1-score,val_metrics.macro avg.precision,val_metrics.macro avg.recall,val_metrics.macro avg.support,val_metrics.nct.accuracy,val_metrics.nct.f1-score,val_metrics.nct.precision,val_metrics.nct.recall,val_metrics.nct.specificity,val_metrics.nct.support,val_metrics.nict.accuracy,val_metrics.nict.f1-score,val_metrics.nict.precision,val_metrics.nict.recall,val_metrics.nict.specificity,val_metrics.nict.support,val_metrics.pct.accuracy,val_metrics.pct.f1-score,val_metrics.pct.precision,val_metrics.pct.recall,val_metrics.pct.specificity,val_metrics.pct.support,val_metrics.weighted avg.f1-score,val_metrics.weighted avg.precision,val_metrics.weighted avg.recall,val_metrics.weighted avg.support
"{model: vgg_simple, client_lr: 0.0001, lr_decay: 0, num_clients: 3}",r1ukjloz,finished,-,maxb,,2021-04-20T10:29:24.000Z,1972,7gaer1ki,64,0.0001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_Simple,3,,4242,stratified_shuffle_deterministic,,,0,0.805419147,34,"[[384,61,126],[51,342,7],[39,26,933]]",,150,5905,0.4295228124,714467,,,,,,,0.3928547502,0.842559675,0.8213628225,0.8275213004,0.8207913726,1969,0.8994413408,0.9040697674,0.8752345216,0.9348697395,0.8630278064,998,0.8593194515,0.7349282297,0.8101265823,0.6725043783,0.9356223176,571,0.9263585576,0.8250904704,0.7972027972,0.855,0.9445506692,400,0.8389750306,0.8405014982,0.842559675,1969
"{model: Federated VGG_16, client_lr: 0.001, lr_decay: 0, num_clients: 1, epochs_per_client: 5}",pymblpwq,finished,Sent to support,maxb,host-max-main,2021-04-13T04:07:23.000Z,18027,chlrvmn2,64,0.001,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_16,1,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.8790246248,35,"[[407,48,116],[34,356,10],[30,7,961]]",,150,17716,0.2425735444,14768835,30,88580,,,,,0.2552103698,0.875571356,0.8603136815,0.8714611937,0.8552368134,1969,0.9172168614,0.921822542,0.8840846366,0.9629258517,0.8702368692,998,0.8842051803,0.7811900192,0.864118896,0.7127845884,0.9542203147,571,0.9497206704,0.8779284834,0.8661800487,0.89,0.9649458254,400,0.872122799,0.8746573776,0.875571356,1969
"{model: Federated VGG_Simple, client_lr: 0.0001, lr_decay: 0, num_clients: 1, epochs_per_client: 10}",8wok54nw,finished,-,maxb,host-max-main,2021-04-14T11:04:07.000Z,9018,chlrvmn2,64,0.0001,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_Simple,1,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.8900936842,40,"[[390,52,129],[34,362,4],[30,11,957]]",,150,17716,0.2167349458,714467,15,177160,,,,,0.3323194683,0.8811579482,0.8691262602,0.8738278468,0.8654052589,1969,0.9233113255,0.9259440902,0.906820365,0.9458917836,0.9001029866,998,0.8842051803,0.7931034483,0.8229755179,0.765323993,0.9327610873,571,0.9547993906,0.8883312422,0.8916876574,0.885,0.9725940089,400,0.8797799735,0.8794315937,0.8811579482,1969
"{model: vgg_16, client_lr: 0.001, lr_decay: 0, num_clients: 2}",t73n22ie,finished,-,maxb,,2021-04-20T06:00:03.000Z,7839,7gaer1ki,64,0.001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_16,2,,4242,stratified_shuffle_deterministic,,,0,0.8553849459,42,"[[458,32,81],[93,300,7],[96,8,894]]",,150,8858,0.302277714,14768835,,,,,,,0.329054147,0.8390045708,0.821964553,0.8335408138,0.8159643864,1969,0.9024885729,0.903030303,0.9103869654,0.8957915832,0.9093717817,998,0.8466226511,0.7520525452,0.7078825348,0.8021015762,0.864806867,571,0.9288979177,0.8108108108,0.8823529412,0.75,0.9745060548,400,0.8405132402,0.8459666304,0.8390045708,1969
"{model: Federated VGG_Simple, client_lr: 0.0001, lr_decay: 0, num_clients: 2, epochs_per_client: 10}",b8zqaff7,finished,-,maxb,max-pve,2021-04-11T02:01:10.000Z,4957,am6j3hgn,64,0.0001,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_Simple,2,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.8446093798,50,"[[388,63,120],[23,372,5],[35,13,950]]",,150,17716,0.3229451478,714467,15,88580,,,,,0.2739474177,0.8684611478,0.8523110248,0.86134441,0.8538044799,1969,0.9121381412,0.9165460685,0.8837209302,0.9519038076,0.8712667353,998,0.8776028441,0.7630285152,0.869955157,0.6795096322,0.9585121602,571,0.9471813103,0.8773584906,0.8303571429,0.93,0.9515615041,400,0.864065848,0.8688881362,0.8684611478,1969
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0, num_clients: 3, epochs_per_client: 5}",khx9laz7,finished,-,maxb,host-max-main,2021-04-12T23:03:20.000Z,12004,chlrvmn2,64,0.01,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_16,3,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.5069428682,50,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.02763319,14768835,30,29525,,,,,1.027187586,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0.05, num_clients: 1, epochs_per_client: 5}",nabtxv1d,finished,-,maxb,host-max-pve,2021-04-14T08:38:31.000Z,18725,chlrvmn2,64,0.0001,HUST-19 (slices),,150,5,categorical_crossentropy,0.05,Federated VGG_16,1,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.9468841553,50,"[[445,26,100],[48,347,5],[57,3,938]]",,150,17716,0.09929502755,14768835,30,88580,,,,,0.4062756896,0.8867445404,0.8774847854,0.8839637959,0.8725748052,1969,0.9207719655,0.923902439,0.9001901141,0.9488977956,0.8918640577,998,0.8913153885,0.804029304,0.8426103647,0.76882662,0.9413447783,571,0.9614017268,0.9045226131,0.9090909091,0.9,0.9770554493,400,0.8852028502,0.8853004651,0.8867445404,1969
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0, num_clients: 1, epochs_per_client: 10}",t88pj5fc,finished,-,maxb,host-max-pve,2021-04-14T01:09:13.000Z,11817,chlrvmn2,64,0.01,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_16,1,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.5069428682,50,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.027628422,14768835,15,177160,,,,,1.027190447,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0.05, num_clients: 3, epochs_per_client: 5}",zuycv02k,finished,-,maxb,host-max-main,2021-04-12T23:09:48.000Z,18489,chlrvmn2,64,0.01,HUST-19 (slices),,150,5,categorical_crossentropy,0.05,Federated VGG_16,3,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.5069428682,50,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.027328134,14768835,30,29525,,,,,1.027187228,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: vgg_simple, client_lr: 0.001, lr_decay: 0, num_clients: 2}",cuhsnocl,finished,-,maxb,,2021-04-20T08:41:02.000Z,2757,7gaer1ki,64,0.001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_Simple,2,,4242,stratified_shuffle_deterministic,,,0,0.831677556,60,"[[399,101,71],[15,378,7],[101,27,870]]",,150,8858,0.3805477023,714467,,,,,,,0.3314778209,0.8364652108,0.8211285151,0.8131714579,0.8385058558,1969,0.8953783647,0.8941418294,0.917721519,0.871743487,0.9196704428,998,0.8537328593,0.7348066298,0.7747572816,0.6987740806,0.9170243205,571,0.9238191976,0.8344370861,0.7470355731,0.945,0.9184193754,400,0.8358064834,0.84158797,0.8364652108,1969
